post_id,text,post_text,shared_text,time,image,images,video,video_thumbnail,video_id,likes,comments,shares,post_url,link,user_id,username,is_live,factcheck,shared_post_id,shared_time,shared_user_id,shared_username,shared_post_url,available,comments_full
4041421799275576,"Nintendo Switch
13 hrs ·

Which games from the latest Indie World Showcase were you most excited to see?

Learn more about these indie games here: https://nintendo.com/indie-world",,"Nintendo Switch
13 hrs ·

Which games from the latest Indie World Showcase were you most excited to see?

Learn more about these indie games here: https://nintendo.com/indie-world",2021-04-15 14:00:14,https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/173805229_3814486105314086_8547409440029801582_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=moD1wu_2HaIAX8VSyTD&_nc_ht=scontent-bog1-1.xx&tp=14&oh=a41dbe5b3b22fdd883976580a1aee972&oe=609FCDAA,"['https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/173805229_3814486105314086_8547409440029801582_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=moD1wu_2HaIAX8VSyTD&_nc_ht=scontent-bog1-1.xx&tp=14&oh=a41dbe5b3b22fdd883976580a1aee972&oe=609FCDAA', 'https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/173805229_3814486105314086_8547409440029801582_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=moD1wu_2HaIAX8VSyTD&_nc_ht=scontent-bog1-1.xx&tp=14&oh=a41dbe5b3b22fdd883976580a1aee972&oe=609FCDAA', 'https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/173805229_3814486105314086_8547409440029801582_n.jpg?_nc_cat=1&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=moD1wu_2HaIAX8VSyTD&_nc_ht=scontent-bog1-1.xx&tp=14&oh=a41dbe5b3b22fdd883976580a1aee972&oe=609FCDAA']",,,,233,102,15,https://facebook.com/nintendo/posts/4041421799275576,https://nintendo.com/indie-world,119240841493711,Nintendo,False,,,,,,,True,
4041351039282652,,,,2021-04-15 13:30:00,https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/174452791_4041351042615985_8801177899915549195_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=GBkXA4vwzsoAX-3H-pL&_nc_ht=scontent-bog1-1.xx&tp=14&oh=e90f6c70454fbec5cdb331f872f4bd99&oe=609D0372,"['https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/174452791_4041351042615985_8801177899915549195_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=GBkXA4vwzsoAX-3H-pL&_nc_ht=scontent-bog1-1.xx&tp=14&oh=e90f6c70454fbec5cdb331f872f4bd99&oe=609D0372', 'https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/174452791_4041351042615985_8801177899915549195_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=GBkXA4vwzsoAX-3H-pL&_nc_ht=scontent-bog1-1.xx&tp=14&oh=e90f6c70454fbec5cdb331f872f4bd99&oe=609D0372', 'https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/174452791_4041351042615985_8801177899915549195_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=GBkXA4vwzsoAX-3H-pL&_nc_ht=scontent-bog1-1.xx&tp=14&oh=e90f6c70454fbec5cdb331f872f4bd99&oe=609D0372']",,,,446,87,0,https://facebook.com/nintendo/posts/4041351039282652,http://ninten.do/6183VjW5l,119240841493711,Nintendo,False,,,,,,,True,
4037559799661776,"Today marks the 20th anniversary of the Animal Crossing series! What are your favorite memories? Thank you to everyone who has played throughout the years, and we look forward to sharing more memories together in the future!

If you’ve not played before, Animal Crossing: New Horizons is now available on Nintendo Switch!
http://ninten.do/6181VbYid","Today marks the 20th anniversary of the Animal Crossing series! What are your favorite memories? Thank you to everyone who has played throughout the years, and we look forward to sharing more memories together in the future!

If you’ve not played before, Animal Crossing: New Horizons is now available on Nintendo Switch!
http://ninten.do/6181VbYid",,2021-04-14 08:00:02,https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/173591141_4037559809661775_6132733053239526565_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=cLF4oNr7gOAAX9cFw9_&_nc_ht=scontent-bog1-1.xx&tp=14&oh=d548b3b366eb3c0e1ccb36c90452947e&oe=609FB044,"['https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/173591141_4037559809661775_6132733053239526565_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=cLF4oNr7gOAAX9cFw9_&_nc_ht=scontent-bog1-1.xx&tp=14&oh=d548b3b366eb3c0e1ccb36c90452947e&oe=609FB044', 'https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/173591141_4037559809661775_6132733053239526565_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=cLF4oNr7gOAAX9cFw9_&_nc_ht=scontent-bog1-1.xx&tp=14&oh=d548b3b366eb3c0e1ccb36c90452947e&oe=609FB044', 'https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/173591141_4037559809661775_6132733053239526565_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=cLF4oNr7gOAAX9cFw9_&_nc_ht=scontent-bog1-1.xx&tp=14&oh=d548b3b366eb3c0e1ccb36c90452947e&oe=609FB044']",,,,1958,225,0,https://facebook.com/nintendo/posts/4037559799661776,http://ninten.do/6181VbYid,119240841493711,Nintendo,False,,,,,,,True,
4035159999901756,"A new Indie World Showcase arrives on Wednesday, April 14 at 9 a.m. PT! Tune in for a livestream featuring roughly 20 minutes focused on fresh and new indie games coming to Nintendo Switch.

Watch it live here: https://nintendo.com/indie-world","A new Indie World Showcase arrives on Wednesday, April 14 at 9 a.m. PT! Tune in for a livestream featuring roughly 20 minutes focused on fresh and new indie games coming to Nintendo Switch.

Watch it live here: https://nintendo.com/indie-world",,2021-04-13 11:00:02,https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/172857389_4035160003235089_8807175623805692494_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=dz8ia7y1NnAAX95SUXG&_nc_ht=scontent-bog1-1.xx&tp=14&oh=1ecbde359565815f0ddb32fef1c9f84c&oe=609FA468,"['https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/172857389_4035160003235089_8807175623805692494_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=dz8ia7y1NnAAX95SUXG&_nc_ht=scontent-bog1-1.xx&tp=14&oh=1ecbde359565815f0ddb32fef1c9f84c&oe=609FA468', 'https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/172857389_4035160003235089_8807175623805692494_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=dz8ia7y1NnAAX95SUXG&_nc_ht=scontent-bog1-1.xx&tp=14&oh=1ecbde359565815f0ddb32fef1c9f84c&oe=609FA468', 'https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/172857389_4035160003235089_8807175623805692494_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=dz8ia7y1NnAAX95SUXG&_nc_ht=scontent-bog1-1.xx&tp=14&oh=1ecbde359565815f0ddb32fef1c9f84c&oe=609FA468']",,,,741,91,0,https://facebook.com/nintendo/posts/4035159999901756,https://nintendo.com/indie-world,119240841493711,Nintendo,False,,,,,,,True,
4023547561063000,Can you guess the Pokémon? Play along with Kit & Krysta on this episode of #NintendoMinute! #NewPokemonSnap,Can you guess the Pokémon? Play along with Kit & Krysta on this episode of #NintendoMinute! #NewPokemonSnap,,2021-04-09 17:00:00,,,https://video-bog1-1.xx.fbcdn.net/v/t42.1790-2/10000000_474657123582485_6428341924202877791_n.mp4?_nc_cat=103&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=dl9pTFbzD5gAX_yTaLn&_nc_ht=video-bog1-1.xx&oh=40ae56b67bca9c8d0c1f838f62d7c0c7&oe=60791C6B,https://scontent-bog1-1.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/s320x320/158300065_751612692393683_6532912327156921480_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=kurd2ngAEewAX9loi_j&_nc_ht=scontent-bog1-1.xx&tp=9&oh=1ae5532b39a611d857d440ab2f020bed&oe=609FFE01,751605532394399,211,44,0,https://facebook.com/nintendo/videos/751605532394399,,119240841493711,Nintendo,False,,,,,,,True,
4010599259024497,"Get ready for the Animal Crossing: New Horizons collection from Build-A-Bear Workshop, launching tomorrow! Sign up for email updates to find out when the collection is available.

Sign up here: http://ninten.do/6183VnnM5","Get ready for the Animal Crossing: New Horizons collection from Build-A-Bear Workshop, launching tomorrow! Sign up for email updates to find out when the collection is available.

Sign up here: http://ninten.do/6183VnnM5",,2021-04-05 13:35:16,https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/169486308_4010599262357830_4275561215852286289_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=-Rey5jIbN7IAX8w8ncu&_nc_ht=scontent-bog1-1.xx&tp=14&oh=1aea10c3edbee33889b3d5837429eb9b&oe=609DC0A5,"['https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/169486308_4010599262357830_4275561215852286289_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=-Rey5jIbN7IAX8w8ncu&_nc_ht=scontent-bog1-1.xx&tp=14&oh=1aea10c3edbee33889b3d5837429eb9b&oe=609DC0A5', 'https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/169486308_4010599262357830_4275561215852286289_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=-Rey5jIbN7IAX8w8ncu&_nc_ht=scontent-bog1-1.xx&tp=14&oh=1aea10c3edbee33889b3d5837429eb9b&oe=609DC0A5', 'https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/169486308_4010599262357830_4275561215852286289_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=-Rey5jIbN7IAX8w8ncu&_nc_ht=scontent-bog1-1.xx&tp=14&oh=1aea10c3edbee33889b3d5837429eb9b&oe=609DC0A5']",,,,2634,1343,0,https://facebook.com/nintendo/posts/4010599259024497,http://ninten.do/6183VnnM5,119240841493711,Nintendo,False,,,,,,,True,
4006701736080916,Hop into the holiday festivities with some egg-citing adventures! What game are you playing today?,Hop into the holiday festivities with some egg-citing adventures! What game are you playing today?,,2021-04-04 10:00:01,https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/169492872_4006701739414249_4897555911623610804_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=9pjzgCwjdf0AX9LRwfS&_nc_ht=scontent-bog1-1.xx&tp=14&oh=f4792816fbda05e3a984c4e5288fb284&oe=609D55F3,"['https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/169492872_4006701739414249_4897555911623610804_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=9pjzgCwjdf0AX9LRwfS&_nc_ht=scontent-bog1-1.xx&tp=14&oh=f4792816fbda05e3a984c4e5288fb284&oe=609D55F3', 'https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/169492872_4006701739414249_4897555911623610804_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=9pjzgCwjdf0AX9LRwfS&_nc_ht=scontent-bog1-1.xx&tp=14&oh=f4792816fbda05e3a984c4e5288fb284&oe=609D55F3', 'https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/169492872_4006701739414249_4897555911623610804_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=9pjzgCwjdf0AX9LRwfS&_nc_ht=scontent-bog1-1.xx&tp=14&oh=f4792816fbda05e3a984c4e5288fb284&oe=609D55F3']",,,,829,134,0,https://facebook.com/nintendo/posts/4006701736080916,,119240841493711,Nintendo,False,,,,,,,True,
4001564979927925,Kit & Krysta are joined by special guests Miss Click and PlayerEssence.com to hunt the Bishaten in Monster Hunter Rise on today’s episode of Nintendo Minute! Capcom USA Monster Hunter,Kit & Krysta are joined by special guests Miss Click and PlayerEssence.com to hunt the Bishaten in Monster Hunter Rise on today’s episode of Nintendo Minute! Capcom USA Monster Hunter,,2021-04-02 17:00:00,,,https://video-bog1-1.xx.fbcdn.net/v/t42.1790-2/10000000_198745198378328_4750792457484240850_n.mp4?_nc_cat=106&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=bwJ1mNF-4TgAX-NDJld&_nc_ht=video-bog1-1.xx&oh=0a19cc0e14185d8204d49fd83d5b0dfc&oe=60792202,https://scontent-bog1-1.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/s320x320/150057212_469465591143007_8844523633225822230_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=c9cAdZXpxCgAX9MAxpM&_nc_ht=scontent-bog1-1.xx&tp=9&oh=2b770d78311b116706037c5676ee87e2&oe=609FE746,469450587811174,237,31,0,https://facebook.com/nintendo/videos/469450587811174,http://PlayerEssence.com/,119240841493711,Nintendo,False,,,,,,,True,
4000758903341866,"Here's to a great March that brought us new content in Super Smash Bros. Ultimate, Among Us, Animal Crossing: New Horizons and more, and exciting releases like Monster Hunter Rise and Apex Legends! Get the rundown with the March edition of Nintendo Monthly Rewind!","Here's to a great March that brought us new content in Super Smash Bros. Ultimate, Among Us, Animal Crossing: New Horizons and more, and exciting releases like Monster Hunter Rise and Apex Legends! Get the rundown with the March edition of Nintendo Monthly Rewind!",,2021-04-02 10:04:29,,,https://video-bog1-1.xx.fbcdn.net/v/t42.1790-2/168170833_115097320608012_2094614972956122153_n.mp4?_nc_cat=106&ccb=1-3&_nc_sid=985c63&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=jgcwpfgWOrcAX-eXF10&_nc_ht=video-bog1-1.xx&oh=9f094c8faebd6ffae8a855572fdd926d&oe=60791B09,https://scontent-bog1-1.xx.fbcdn.net/v/t15.5256-10/cp0/e15/q65/s320x320/159582106_732486124092980_8389452306710256158_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=ccf8b3&_nc_ohc=s7_YE8Ii6fMAX9z5oJJ&_nc_ht=scontent-bog1-1.xx&tp=9&oh=fac14026ff00ff65adc539b85f7b32da&oe=609CB3ED,732484080759851,344,34,0,https://facebook.com/nintendo/videos/732484080759851,,119240841493711,Nintendo,False,,,,,,,True,
3994908647260225,"Hey, Trainers! In this special episode of Nintendo Power Podcast, Chris and guests discuss 25 years of Pokémon! The group share their Pokémon memories and look ahead to the next wave of Pokémon experiences coming to Nintendo Switch.

Available now: http://ninten.do/6183VpOwU","Hey, Trainers! In this special episode of Nintendo Power Podcast, Chris and guests discuss 25 years of Pokémon! The group share their Pokémon memories and look ahead to the next wave of Pokémon experiences coming to Nintendo Switch.

Available now: http://ninten.do/6183VpOwU",,2021-03-31 15:30:00,https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/167617623_3994908650593558_2230007840230062317_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=TyDeH3PYLpcAX_M6KxK&_nc_ht=scontent-bog1-1.xx&tp=14&oh=4e2f647613889ac2a6905af49618e490&oe=609D1E38,"['https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/167617623_3994908650593558_2230007840230062317_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=TyDeH3PYLpcAX_M6KxK&_nc_ht=scontent-bog1-1.xx&tp=14&oh=4e2f647613889ac2a6905af49618e490&oe=609D1E38', 'https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/167617623_3994908650593558_2230007840230062317_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=TyDeH3PYLpcAX_M6KxK&_nc_ht=scontent-bog1-1.xx&tp=14&oh=4e2f647613889ac2a6905af49618e490&oe=609D1E38', 'https://scontent-bog1-1.xx.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/167617623_3994908650593558_2230007840230062317_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=TyDeH3PYLpcAX_M6KxK&_nc_ht=scontent-bog1-1.xx&tp=14&oh=4e2f647613889ac2a6905af49618e490&oe=609D1E38']",,,,330,25,0,https://facebook.com/nintendo/posts/3994908647260225,http://ninten.do/6183VpOwU,119240841493711,Nintendo,False,,,,,,,True,
